ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source
summary,summary,bayesian,,summary,substitutions,summary,Rexova2006
STATE_1,STATE_1,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_2,STATE_2,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_3,STATE_3,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_4,STATE_4,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_5,STATE_5,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_6,STATE_6,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_7,STATE_7,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_8,STATE_8,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_9,STATE_9,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_10,STATE_10,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_11,STATE_11,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_12,STATE_12,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_13,STATE_13,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_14,STATE_14,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_15,STATE_15,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_16,STATE_16,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_17,STATE_17,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_18,STATE_18,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_19,STATE_19,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_20,STATE_20,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_21,STATE_21,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_22,STATE_22,bayesian,Yes,sample,substitutions,posterior,Rexova2006
STATE_23,STATE_23,bayesian,Yes,sample,substitutions,posterior,Rexova2006
