taxon,glottocode
A24Duala,dual1243
A43aBasaa,basa1284
A44Nen,tune1261
A53Rikpa,bafi1243
A72Ewondo,ewon1239
A74Bulu,bulu1251
B74Boma,teke1278
B78FumuW,wuum1238
B85Yanz1,yans1239
C24Koyo1,koyo1242
C32Bobang,bang1354
C34Sakata,saka1287
C41Ngombe,ngom1268
C45Angba,ngel1238
C52So4B,mbes1238
C55Kele2,kele1255
C61Mongo,mong1338
C71Tetela,tete1250
C76Ombo,ombo1238
C83Bushon,bush1247
D12Lengol,leng1258
D13Mituku,mitu1240
D14Enya1,enya1249
D25Lega2,lega1249
D26Binja,zimb1251
D28Holoho,holo1240
D35Bodo1,bodo1272
D37Kumu1,komo1260
D43Nyanga,nyan1304
E51Gikuyu,kiku1240
E55Kamba,kamb1297
E62Caga1,moch1256
E71Pokomo,poko1261
F21Sukuma,suku1261
F22Nyamwe,nyam1276
F23Sumbwa,sumb1240
G23Shamba,sham1280
G42Swahil,swah1253
G65Kinga,nucl1379
H11Bembe,beem1239
H12bYombe,yomb1244
H31Yaka1,yaka1269
J13Hima,hima1248
J15Ganda,gand1255
J22HHaya,haya1250
J31cBukus,buku1249
J34Samia,saam1283
J42Nande,yira1240
J53Shi,shii1238
J61Rwanda,kiny1244
J62Rundi,rund1242
K11Ciokwe,chok1245
K14Lwena,luva1239
K21Salamp,lozi1239
K22Lunda,lund1266
K23Ruund,ruun1238
K31Luyi,luya1241
K33Kwanga,kwan1273
K39Dcirik,diri1252
K50Holu,holu1245
K51Mbala,mbal1257
K53Kwezo,kwes1244
L21Kete1,kete1252
L23Songye,song1303
L27Bangub,bang1350
L31LubaK,luba1249
L33LubaS,luba1250
L35Sanga,sang1331
L42Kaonde,kaon1241
M31Nyakyu,nyak1260
M41Tabwa,shil1264
M42Bemba,bemb1257
M54Lamba,lamb1271
M64Tonga,tong1318
N31aNyanj,nyan1308
N44Sena,nucl1396
P21Yao1,yaoo1241
P31Makwa,makh1264
R11Umbund,umbu1257
R21Kwanya,kuan1247
R31Herero,here1253
S10Shona,shon1251
S21Venda,vend1245
S31dKhala,tswa1253
S42Zulu,zulu1248
S53Tsonga,tson1249
S54Ronga,rong1268
